psu,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,COD_District,COD_Governorate,SumDist,proba,num_households,survey_buffer
20770,Balad,Al-Duloeyah-Hay khazraj,محلة خزرج,34.04808189,44.21884053,Al-Duloeyah,Balad,Salah Al-Din,1307,0.051262433,67,6
20771,Balad,Albu Farraj Village,قرية البو فراج,34.08612811,44.19097743,Al-Duloeyah,Balad,Salah Al-Din,1307,0.076511094,100,6
20774,Balad,AL-Eshaqi center,مركز ناحية الاسحاقي,34.047534,43.98844416,Al-Esshaqi,Balad,Salah Al-Din,1307,0.03213466,42,18
29601,Balad,Eshaqi Complex,مجمع الاسحاقي,34.04860604,43.98265867,Al-Esshaqi,Balad,Salah Al-Din,1307,0.022953328,30,6
24912,Balad,Al Sindiyah village,قرية السندية,33.87815361,44.4443865,Yathreb,Balad,Salah Al-Din,1307,0.038255547,50,12
23140,Samarra,Al Hardaniyah,قرية الحردانية ,34.07240208,44.15670572,Al-Muotasim,Samarra,Salah Al-Din,3039,0.032905561,100,6
21724,Samarra,Hay Al Mutasim-mahala 105,محلة 105,34.19421015,43.87824353,Markaz Samarra,Samarra,Salah Al-Din,3039,0.022704837,69,6
21725,Samarra,Hay Al Wathiq-Mahala 314,حي الواثق(22-جبيرية)محلة 314,34.18605355,43.89418088,Markaz Samarra,Samarra,Salah Al-Din,3039,0.076999013,234,12
20569,Samarra,Hay Al-Khathraa Mahala 322,حي الخضراء م(25-عرموشية)محلة 322,34.19773851,43.90743795,Markaz Samarra,Samarra,Salah Al-Din,3039,0.073050346,222,6
22474,Samarra,Hay Al Dhubbat-Mahalla 334,حي الضباط م(25-عرموشية)محلة 334,34.19306987,43.8913851,Markaz Samarra,Samarra,Salah Al-Din,3039,0.020401448,62,6
21588,Samarra,Al Jubairiyah Al Thalitha,حي الواثق(22-جبيرية)الجبيرية الثالثة,34.18151073,43.90937853,Markaz Samarra,Samarra,Salah Al-Din,3039,0.072063179,219,12
21590,Samarra,Hay Salah Al-Din(Mahala 302),حي صلاح الدين محلة 302,34.20472059,43.91261897,Markaz Samarra,Samarra,Salah Al-Din,3039,0.075353735,229,6
23877,Samarra,Hay Al-Ziraa(Sharqiyah)113,حي الزراعة(شرقية)محلة 113,34.18825585,43.87307567,Markaz Samarra,Samarra,Salah Al-Din,3039,0.016781836,51,6
25518,Samarra,Al Mahalla Al Gharbiah,المحلة الغربية,34.19354152,43.87038482,Markaz Samarra,Samarra,Salah Al-Din,3039,0.016123725,49,6
23876,Samarra,Al Jibariya Mahala 316,حي الواثق(22-جبيرية)محلة 316,34.18445265,43.90318531,Markaz Samarra,Samarra,Salah Al-Din,3039,0.040802896,124,6
20675,Samarra,Al-Efraz area,حي الافراز,34.20589121,43.90987038,Markaz Samarra,Samarra,Salah Al-Din,3039,0.047384008,144,6
22473,Samarra,Hay Al Muthanna-Mahalla 312,حي المثنى-محلة 312,34.19323408,43.91680473,Markaz Samarra,Samarra,Salah Al-Din,3039,0.137545245,418,24
24247,Tikrit,Hay Al baladiyah,حي البلدية-م(27-الخرجة والعالي),34.68755009,43.71769524,Al-Alam,Tikrit,Salah Al-Din,3113,0.051397366,160,12
28449,Tikrit,Mahalla Al Aed,حي العائد(27-الخرجة والعالي)محلة العائد,34.70181064,43.71575489,Al-Alam,Tikrit,Salah Al-Din,3113,0.067459043,210,18
21592,Tikrit,Hay Al sinay-Al samad,حي الصناعي-م(51-المجرة وتل رجيم)قرية الصمد,34.71326825,43.70669107,Al-Alam,Tikrit,Salah Al-Din,3113,0.053003534,165,6
23145,Tikrit,Al Ahad Al Jadid village,قرية العهد الجديد,34.72016511,43.69896303,Al-Alam,Tikrit,Salah Al-Din,3113,0.013813042,43,6
24212,Tikrit,Al khuzamiya Village,قرية الخزامية,34.768545,43.65085705,Al-Alam,Tikrit,Salah Al-Din,3113,0.013813042,43,6
25923,Tikrit,Qadisya 2 Mahala 216,حي المطاردة(قادسية2)مقاطعة 7-محله 216,34.64904267,43.66291122,Um Al-Qura,Tikrit,Salah Al-Din,3113,0.044972695,140,6
22468,Tikrit,Hay Al Zuhour-422,حي الزهور محلة-422,34.59060412,43.67237859,Um Al-Qura,Tikrit,Salah Al-Din,3113,0.069386444,216,6
24211,Tikrit,Al Namah Al ShamaliyahVillage,قرية الناعمة الشمالية,34.66263782,43.92081141,Um Al-Qura,Tikrit,Salah Al-Din,3113,0.030517186,95,12
20618,Tikrit,Hammad Shihab,قرية حماد شهاب,34.69869525,43.61826052,Um Al-Qura,Tikrit,Salah Al-Din,3113,0.02088018,65,6
22058,Tikrit,Hay Aldiuom,حي الديوم-مقاطعة 211-ديوم تكريت,34.59618062,43.65522036,Um Al-Qura,Tikrit,Salah Al-Din,3113,0.033087054,103,6
27367,Tikrit,Hay Alziraa,حي الزراعة,34.58463421,43.68255174,Um Al-Qura,Tikrit,Salah Al-Din,3113,0.006424671,20,6
25962,Tikrit,Hay Salma Altaghlubia,حي سلمى التغلبيه-محله 401,34.60974451,43.68082171,Um Al-Qura,Tikrit,Salah Al-Din,3113,0.007067138,22,12
25866,Tooz Khurmato,Hay Komari-120,حي كوماري م(5-الطوز)محلة 120,34.89631116,44.62618562,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,3975,0.184150943,732,24
25748,Tooz Khurmato,Markaz Tooz-Jesir Dara,جسر دارا,34.95107121,44.59455173,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,3975,0.014339623,57,6
25754,Tooz Khurmato,Markaz Tooz-Hay Al Askari,حي العسكري,34.87893383,44.61564474,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,3975,0.140628931,559,24
25872,Tooz Khurmato,Unformal Shelter,سكن غير رسمي,34.9051509,44.63581838,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,3975,0.068679245,273,12
25752,Tooz Khurmato,Markaz Tooz-Hay Al Taiyar 122,محلة 122,34.90215812,44.62048832,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,3975,0.157987421,628,30
20405,Tooz Khurmato,Sankur,سنكور,35.0088073,44.53832744,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,3975,0.011823899,47,6
25868,Tooz Khurmato,Hay Rizgari-114,حي رزكاري م(5-الطوز)محلة 114,34.88670149,44.64114867,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,3975,0.074716981,297,6
33153,Tooz Khurmato,Zinana,زنانة,34.8799657,44.8496409,Markaz Tooz Khurmato,Tooz Khurmato,Salah Al-Din,3975,0.025157233,100,6
25870,Tooz Khurmato,Tal Al Naqqar,تل النقار,34.732738,44.800704,Sulaiman Baig,Tooz Khurmato,Salah Al-Din,3975,0.095597484,380,12
10301,Al-Nasiriya,Hay Al Fidaa,حي الفداء,31.06973001,46.27874198,Markaz Al-Nasiriya,Al-Nasiriya,Thi Qar,227,0.039647577,9,6
9396,Al-Nasiriya,Al-zielat,الزعيلات,31.0154237,46.26344175,Markaz Al-Nasiriya,Al-Nasiriya,Thi Qar,227,0.066079295,15,6
24494,Al-Nasiriya,Al Aker,العكر,31.02771088,46.21821474,Markaz Al-Nasiriya,Al-Nasiriya,Thi Qar,227,0.030837004,7,12
10259,Al-Nasiriya,Hay Al Tadhihiya,حي التضحية,31.05015718,46.27335321,Markaz Al-Nasiriya,Al-Nasiriya,Thi Qar,227,0.074889868,17,6
21208,Al-Nasiriya,Hay Al Mualimeen,حي المعلمين,31.06777925,46.24967456,Markaz Al-Nasiriya,Al-Nasiriya,Thi Qar,227,0.030837004,7,6
9427,Al-Nasiriya,Hay AL-Mansouria,المنصورية ,31.03044192,46.21559912,Markaz Al-Nasiriya,Al-Nasiriya,Thi Qar,227,0.066079295,15,12
10335,Al-Nasiriya,Al-Salhiya,حي الصالحية,31.05063835,46.2693433,Markaz Al-Nasiriya,Al-Nasiriya,Thi Qar,227,0.044052863,10,12
