Location.ID,District,popgroup,Stratum,population
8873,Sumail,idp_out_camp,Sumail,936
29614,Sumail,idp_out_camp,Sumail,148
7989,Sumail,idp_out_camp,Sumail,498
25622,Sumail,idp_out_camp,Sumail,364
8369,Sumail,idp_out_camp,Sumail,3930
8800,Sumail,idp_out_camp,Sumail,280
27124,Sumail,idp_out_camp,Sumail,416
32029,Zakho,idp_out_camp,Zakho,175
32033,Zakho,idp_out_camp,Zakho,860
32030,Zakho,idp_out_camp,Zakho,765
32024,Zakho,idp_out_camp,Zakho,371
32028,Zakho,idp_out_camp,Zakho,811
32032,Zakho,idp_out_camp,Zakho,859
32027,Zakho,idp_out_camp,Zakho,1166
32031,Zakho,idp_out_camp,Zakho,963
25992,Zakho,idp_out_camp,Zakho,589
8620,Zakho,idp_out_camp,Zakho,16
20980,Erbil,idp_out_camp,Erbil,719
13685,Erbil,idp_out_camp,Erbil,408
25973,Erbil,idp_out_camp,Erbil,91
24308,Erbil,idp_out_camp,Erbil,1580
12826,Erbil,idp_out_camp,Erbil,1481
25727,Erbil,idp_out_camp,Erbil,203
33883,Erbil,idp_out_camp,Erbil,387
21899,Erbil,idp_out_camp,Erbil,668
27214,Erbil,idp_out_camp,Erbil,203
20997,Erbil,idp_out_camp,Erbil,101
20790,Erbil,idp_out_camp,Erbil,295
33878,Erbil,idp_out_camp,Erbil,240
25630,Erbil,idp_out_camp,Erbil,870
24598,Koysinjaq,idp_out_camp,Koysinjaq,60
27222,Koysinjaq,idp_out_camp,Koysinjaq,15
24597,Koysinjaq,idp_out_camp,Koysinjaq,60
12371,Koysinjaq,idp_out_camp,Koysinjaq,55
24484,Koysinjaq,idp_out_camp,Koysinjaq,25
23280,Koysinjaq,idp_out_camp,Koysinjaq,95
33885,Koysinjaq,idp_out_camp,Koysinjaq,53
11887,Koysinjaq,idp_out_camp,Koysinjaq,98
13141,Rawanduz,idp_out_camp,Rawanduz,235
31780,Rawanduz,idp_out_camp,Rawanduz,12
27199,Rawanduz,idp_out_camp,Rawanduz,10
27198,Rawanduz,idp_out_camp,Rawanduz,10
12277,Rawanduz,idp_out_camp,Rawanduz,21
12597,Rawanduz,idp_out_camp,Rawanduz,40
27200,Rawanduz,idp_out_camp,Rawanduz,12
27225,Rawanduz,idp_out_camp,Rawanduz,35
13372,Shaqlawa,idp_out_camp,Shaqlawa,35
12172,Shaqlawa,idp_out_camp,Shaqlawa,125
12079,Shaqlawa,idp_out_camp,Shaqlawa,61
12948,Shaqlawa,idp_out_camp,Shaqlawa,82
23698,Shaqlawa,idp_out_camp,Shaqlawa,73
23713,Shaqlawa,idp_out_camp,Shaqlawa,90
12957,Shaqlawa,idp_out_camp,Shaqlawa,25
23741,Shaqlawa,idp_out_camp,Shaqlawa,71
23742,Shaqlawa,idp_out_camp,Shaqlawa,130
26060,Kerbela,idp_out_camp,Kerbela,35
14167,Kerbela,idp_out_camp,Kerbela,63
24285,Kerbela,idp_out_camp,Kerbela,468
14037,Kerbela,idp_out_camp,Kerbela,60
32057,Kerbela,idp_out_camp,Kerbela,50
25061,Kerbela,idp_out_camp,Kerbela,46
14324,Kerbela,idp_out_camp,Kerbela,10
25262,Kerbela,idp_out_camp,Kerbela,16
27265,Kerbela,idp_out_camp,Kerbela,10
25780,Kerbela,idp_out_camp,Kerbela,6
25358,Kerbela,idp_out_camp,Kerbela,9
24137,Kerbela,idp_out_camp,Kerbela,28
25869,Daquq,idp_out_camp,Daquq,32
25739,Daquq,idp_out_camp,Daquq,120
14786,Daquq,idp_out_camp,Daquq,65
33476,Daquq,idp_out_camp,Daquq,150
15110,Daquq,idp_out_camp,Daquq,100
21483,Daquq,idp_out_camp,Daquq,86
21453,Daquq,idp_out_camp,Daquq,114
33477,Daquq,idp_out_camp,Daquq,90
14960,Daquq,idp_out_camp,Daquq,85
14375,Dibis,idp_out_camp,Dibis,28
15449,Dibis,idp_out_camp,Dibis,110
15674,Dibis,idp_out_camp,Dibis,75
24632,Dibis,idp_out_camp,Dibis,55
24631,Dibis,idp_out_camp,Dibis,80
21016,Kirkuk,idp_out_camp,Kirkuk,420
31729,Kirkuk,idp_out_camp,Kirkuk,430
15550,Kirkuk,idp_out_camp,Kirkuk,579
31726,Kirkuk,idp_out_camp,Kirkuk,405
31728,Kirkuk,idp_out_camp,Kirkuk,490
24084,Kirkuk,idp_out_camp,Kirkuk,900
22296,Kirkuk,idp_out_camp,Kirkuk,2260
24453,Kirkuk,idp_out_camp,Kirkuk,330
15648,Kirkuk,idp_out_camp,Kirkuk,275
23900,Kirkuk,idp_out_camp,Kirkuk,145
20844,Al-Kahla,idp_out_camp,Al-Kahla,9
16835,Al-Kahla,idp_out_camp,Al-Kahla,10
15991,Al-Kahla,idp_out_camp,Al-Kahla,8
24808,Al-Kahla,idp_out_camp,Al-Kahla,15
22208,Al-Kahla,idp_out_camp,Al-Kahla,13
24532,Al-Kahla,idp_out_camp,Al-Kahla,107
23622,Al-Kahla,idp_out_camp,Al-Kahla,9
34009,Al-Baaj,idp_out_camp,Al-Baaj,213
34010,Al-Baaj,idp_out_camp,Al-Baaj,98
34014,Al-Baaj,idp_out_camp,Al-Baaj,121
34013,Al-Baaj,idp_out_camp,Al-Baaj,75
34012,Al-Baaj,idp_out_camp,Al-Baaj,80
34008,Al-Baaj,idp_out_camp,Al-Baaj,220
18349,Al-Baaj,idp_out_camp,Al-Baaj,126
34011,Al-Baaj,idp_out_camp,Al-Baaj,187
25816,Al-Hamdaniya,idp_out_camp,Al-Hamdaniya,27
24581,Al-Hamdaniya,idp_out_camp,Al-Hamdaniya,574
33475,Al-Hamdaniya,idp_out_camp,Al-Hamdaniya,48
12821,Al-Hamdaniya,idp_out_camp,Al-Hamdaniya,3628
17903,Al-Hamdaniya,idp_out_camp,Al-Hamdaniya,25
27271,Al-Hatra,idp_out_camp,Al-Hatra,157
33114,Al-Hatra,idp_out_camp,Al-Hatra,13
33115,Al-Hatra,idp_out_camp,Al-Hatra,6
33164,Al-Hatra,idp_out_camp,Al-Hatra,6
17126,Al-Hatra,idp_out_camp,Al-Hatra,29
24549,Al-Mosul,idp_out_camp,Al-Mosul,733
18314,Al-Mosul,idp_out_camp,Al-Mosul,684
23933,Al-Mosul,idp_out_camp,Al-Mosul,505
23875,Al-Mosul,idp_out_camp,Al-Mosul,588
21332,Al-Mosul,idp_out_camp,Al-Mosul,129
25066,Al-Mosul,idp_out_camp,Al-Mosul,285
18339,Al-Mosul,idp_out_camp,Al-Mosul,1287
18357,Al-Mosul,idp_out_camp,Al-Mosul,98
18346,Al-Mosul,idp_out_camp,Al-Mosul,430
21336,Al-Mosul,idp_out_camp,Al-Mosul,321
18368,Al-Mosul,idp_out_camp,Al-Mosul,209
18313,Al-Mosul,idp_out_camp,Al-Mosul,259
18370,Al-Mosul,idp_out_camp,Al-Mosul,348
17128,Al-Mosul,idp_out_camp,Al-Mosul,170
17338,Al-Shikhan,idp_out_camp,Al-Shikhan,70
25945,Al-Shikhan,idp_out_camp,Al-Shikhan,112
17752,Al-Shikhan,idp_out_camp,Al-Shikhan,672
17333,Al-Shikhan,idp_out_camp,Al-Shikhan,1524
17535,Al-Shikhan,idp_out_camp,Al-Shikhan,240
25278,Al-Shikhan,idp_out_camp,Al-Shikhan,8
18199,Al-Shikhan,idp_out_camp,Al-Shikhan,362
21008,Al-Shikhan,idp_out_camp,Al-Shikhan,183
8783,Aqra,idp_out_camp,Aqra,972
8776,Aqra,idp_out_camp,Aqra,105
24580,Aqra,idp_out_camp,Aqra,725
16953,Aqra,idp_out_camp,Aqra,61
17802,Aqra,idp_out_camp,Aqra,293
17734,Aqra,idp_out_camp,Aqra,1713
27361,Sinjar,idp_out_camp,Sinjar,113
27366,Sinjar,idp_out_camp,Sinjar,126
17928,Sinjar,idp_out_camp,Sinjar,908
27283,Sinjar,idp_out_camp,Sinjar,30
27285,Sinjar,idp_out_camp,Sinjar,160
17845,Sinjar,idp_out_camp,Sinjar,500
27362,Sinjar,idp_out_camp,Sinjar,267
23274,Sinjar,idp_out_camp,Sinjar,145
22490,Sinjar,idp_out_camp,Sinjar,225
32090,Sinjar,idp_out_camp,Sinjar,111
23273,Sinjar,idp_out_camp,Sinjar,285
22923,Telafar,idp_out_camp,Telafar,10
17814,Telafar,idp_out_camp,Telafar,27
28453,Telafar,idp_out_camp,Telafar,20
18262,Telafar,idp_out_camp,Telafar,17
18308,Telafar,idp_out_camp,Telafar,555
24701,Telafar,idp_out_camp,Telafar,153
28450,Telafar,idp_out_camp,Telafar,60
25687,Telafar,idp_out_camp,Telafar,37
25808,Telafar,idp_out_camp,Telafar,82
25944,Telafar,idp_out_camp,Telafar,130
25695,Telafar,idp_out_camp,Telafar,7
17134,Tilkaef,idp_out_camp,Tilkaef,119
22365,Tilkaef,idp_out_camp,Tilkaef,144
17830,Tilkaef,idp_out_camp,Tilkaef,15
24703,Tilkaef,idp_out_camp,Tilkaef,65
24637,Tilkaef,idp_out_camp,Tilkaef,22
18377,Tilkaef,idp_out_camp,Tilkaef,1557
17959,Tilkaef,idp_out_camp,Tilkaef,214
24600,Tilkaef,idp_out_camp,Tilkaef,461
23913,Balad,idp_out_camp,Balad,85
25916,Balad,idp_out_camp,Balad,90
25746,Balad,idp_out_camp,Balad,43
23920,Balad,idp_out_camp,Balad,99
25747,Balad,idp_out_camp,Balad,75
25742,Balad,idp_out_camp,Balad,76
20770,Balad,idp_out_camp,Balad,67
20771,Balad,idp_out_camp,Balad,100
20774,Balad,idp_out_camp,Balad,42
29601,Balad,idp_out_camp,Balad,30
24912,Balad,idp_out_camp,Balad,50
23140,Samarra,idp_out_camp,Samarra,100
21724,Samarra,idp_out_camp,Samarra,69
21725,Samarra,idp_out_camp,Samarra,234
20569,Samarra,idp_out_camp,Samarra,222
22474,Samarra,idp_out_camp,Samarra,62
21588,Samarra,idp_out_camp,Samarra,219
21590,Samarra,idp_out_camp,Samarra,229
23877,Samarra,idp_out_camp,Samarra,51
25518,Samarra,idp_out_camp,Samarra,49
23876,Samarra,idp_out_camp,Samarra,124
20675,Samarra,idp_out_camp,Samarra,144
22473,Samarra,idp_out_camp,Samarra,418
24247,Tikrit,idp_out_camp,Tikrit,160
28449,Tikrit,idp_out_camp,Tikrit,210
21592,Tikrit,idp_out_camp,Tikrit,165
23145,Tikrit,idp_out_camp,Tikrit,43
24212,Tikrit,idp_out_camp,Tikrit,43
25923,Tikrit,idp_out_camp,Tikrit,140
22468,Tikrit,idp_out_camp,Tikrit,216
24211,Tikrit,idp_out_camp,Tikrit,95
20618,Tikrit,idp_out_camp,Tikrit,65
22058,Tikrit,idp_out_camp,Tikrit,103
27367,Tikrit,idp_out_camp,Tikrit,20
25962,Tikrit,idp_out_camp,Tikrit,22
25866,Tooz Khurmato,idp_out_camp,Tooz Khurmato,732
25748,Tooz Khurmato,idp_out_camp,Tooz Khurmato,57
25754,Tooz Khurmato,idp_out_camp,Tooz Khurmato,559
25872,Tooz Khurmato,idp_out_camp,Tooz Khurmato,273
