num,psu,n,new_ID,name,district,governorate,label
233,7126,1,cluster_location_id_233,Al Hamiyah-Al Mutaqedin 1,Al-Mussyab,Babil,233_Al Hamiyah-Al Mutaqedin 1
234,24165,1,cluster_location_id_234,Al Hamiyah-Oayef village,Al-Mussyab,Babil,234_Al Hamiyah-Oayef village
235,24296,1,cluster_location_id_235,Al Iskandariyah Area-Mowelha,Al-Mussyab,Babil,235_Al Iskandariyah Area-Mowelha
236,33105,1,cluster_location_id_236,Al Moammen Billah-(Al Jomblatiya Southern),Al-Mussyab,Babil,236_Al Moammen Billah-(Al Jomblatiya Southern)
237,33109,1,cluster_location_id_237,Al Motokal village-(Al Jomblatiya Northern),Al-Mussyab,Babil,237_Al Motokal village-(Al Jomblatiya Northern)
238,7220,1,cluster_location_id_238,Albo Hamdan,Al-Mussyab,Babil,238_Albo Hamdan
239,25613,1,cluster_location_id_239,Al-Iskandaria-Hay Al-Muthana,Al-Mussyab,Babil,239_Al-Iskandaria-Hay Al-Muthana
240,24707,1,cluster_location_id_240,Hay Al Ataba,Al-Mussyab,Babil,240_Hay Al Ataba
241,26125,1,cluster_location_id_241,Hay Al Ghadeer 1,Al-Mussyab,Babil,241_Hay Al Ghadeer 1
242,26119,1,cluster_location_id_242,Hay Al Ghadeer 3,Al-Mussyab,Babil,242_Hay Al Ghadeer 3
243,29582,1,cluster_location_id_243,Hay Al Moatnen 1,Al-Mussyab,Babil,243_Hay Al Moatnen 1
244,24171,1,cluster_location_id_244,Hay Al Moatnen 3,Al-Mussyab,Babil,244_Hay Al Moatnen 3
245,24985,1,cluster_location_id_245,Hay Alaskarey,Al-Mussyab,Babil,245_Hay Alaskarey
246,24984,1,cluster_location_id_246,Hay Al-Rafedain,Al-Mussyab,Babil,246_Hay Al-Rafedain
247,21173,1,cluster_location_id_247,1 Athar,Al-Kadhmiyah,Baghdad,247_1 Athar
248,33478,1,cluster_location_id_248,13 Al Dhabat-Al Harat village,Al-Kadhmiyah,Baghdad,248_13 Al Dhabat-Al Harat village
249,33511,1,cluster_location_id_249,13 Al Dhabat-Albo Abdo village,Al-Kadhmiyah,Baghdad,249_13 Al Dhabat-Albo Abdo village
250,33458,1,cluster_location_id_250,14 Abar village 5,Al-Kadhmiyah,Baghdad,250_14 Abar village 5
251,33469,1,cluster_location_id_251,14 Abar villge 7,Al-Kadhmiyah,Baghdad,251_14 Abar villge 7
252,23618,1,cluster_location_id_252,14 Tamooz,Al-Mahmoudiya,Baghdad,252_14 Tamooz
253,7717,1,cluster_location_id_253,Adhamia-308,Al-Adhamiya,Baghdad,253_Adhamia-308
