list_name,name,label::English,label::Arabic,filter,,,,,,,,,,,,,,,,,,,,,
district_origin,al.kadhmiyah,Al-Kadhmiyah,الكاظمية,baghdad,,,,,,,,,,,,,,,,,,,,,
district_origin,al.karkh,Al-Karkh,الكرخ,baghdad,,,,,,,,,,,,,,,,,,,,,
district_origin,al.mada.in,Al-Mada'in,المدائن,baghdad,,,,,,,,,,,,,,,,,,,,,
district_origin,al.mahmoudiya,Al-Mahmoudiya,المحمودية,baghdad,,,,,,,,,,,,,,,,,,,,,
district_origin,al.risafa,Al-Risafa,الرصافة,baghdad,,,,,,,,,,,,,,,,,,,,,
district_origin,al.thawra,Al-Thawra,الثورة,baghdad,,,,,,,,,,,,,,,,,,,,,
district_origin,al.khalis,Al-Khalis,الخالص,diyala,,,,,,,,,,,,,,,,,,,,,
district_origin,al.muqdadiya,Al-Muqdadiya,المقدادية,diyala,,,,,,,,,,,,,,,,,,,,,
district_origin,baladruz,Baladruz,بلدروز,diyala,,,,,,,,,,,,,,,,,,,,,
district_origin,baquba,Baquba,بعقوبة,diyala,,,,,,,,,,,,,,,,,,,,,
district_origin,khanaqin,Khanaqin,خانقين,diyala,,,,,,,,,,,,,,,,,,,,,
district_origin,kifri,Kifri,كفري,diyala,,,,,,,,,,,,,,,,,,,,,
district_origin,al.amadiya,Al-Amadiya,آمدي / العمادية,duhok,,,,,,,,,,,,,,,,,,,,,
district_origin,duhok,Duhok,دهوك,duhok,,,,,,,,,,,,,,,,,,,,,
district_origin,sumail,Sumail,سيميل,duhok,,,,,,,,,,,,,,,,,,,,,
district_origin,zakho,Zakho,زاخو,duhok,,,,,,,,,,,,,,,,,,,,,
district_origin,al.zibar,Al-Zibar,الزيبار,erbil,,,,,,,,,,,,,,,,,,,,,
district_origin,erbil,Erbil,اربيل,erbil,,,,,,,,,,,,,,,,,,,,,
district_origin,koysinjaq,Koysinjaq,كويسنجق,erbil,,,,,,,,,,,,,,,,,,,,,
district_origin,makhmour,Makhmour,مخمور,erbil,,,,,,,,,,,,,,,,,,,,,
district_origin,rawanduz,Rawanduz,رواندز,erbil,,,,,,,,,,,,,,,,,,,,,
district_origin,shaqlawa,Shaqlawa,شقلاوة,erbil,,,,,,,,,,,,,,,,,,,,,
district_origin,ain.al.tamur,Ain Al-Tamur,عين التمر,kerbala,,,,,,,,,,,,,,,,,,,,,
district_origin,al.hindiya,Al-Hindiya,الهندية,kerbala,,,,,,,,,,,,,,,,,,,,,
district_origin,kerbela,Kerbela,كربلاء,kerbala,,,,,,,,,,,,,,,,,,,,,
district_origin,al.hawiga,Al-Hawiga,الحويجة,kirkuk,,,,,,,,,,,,,,,,,,,,,
district_origin,daquq,Daquq,داقوق,kirkuk,,,,,,,,,,,,,,,,,,,,,
district_origin,dibis,Dibis,دبس,kirkuk,,,,,,,,,,,,,,,,,,,,,
district_origin,kirkuk,Kirkuk,كركوك,kirkuk,,,,,,,,,,,,,,,,,,,,,
district_origin,al.amara,Al-Amara,العمارة,maysan,,,,,,,,,,,,,,,,,,,,,
district_origin,ali.al.gharbi,Ali Al-Gharbi,علي الغربي,maysan,,,,,,,,,,,,,,,,,,,,,
district_origin,al.kahla,Al-Kahla,الكحلة,maysan,,,,,,,,,,,,,,,,,,,,,
district_origin,al.maimouna,Al-Maimouna,الميمونة,maysan,,,,,,,,,,,,,,,,,,,,,
district_origin,al.mejar.al.kabir,Al-Mejar Al-Kabir,المجر الكبير,maysan,,,,,,,,,,,,,,,,,,,,,
district_origin,qalat.saleh,Qalat Saleh,قلعة صالح,maysan,,,,,,,,,,,,,,,,,,,,,
district_origin,al.baaj,Al-Baaj,البعاج,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,al.hamdaniya,Al-Hamdaniya,الحمدانية,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,al.hatra,Al-Hatra,الحضر,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,al.mosul,Al-Mosul,الموصل,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,al.shikhan,Al-Shikhan,الشيخان,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,aqra,Aqra,آكرى,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,sinjar,Sinjar,سنجار,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,telafar,Telafar,تلعفر,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,tilkaef,Tilkaef,تلكيف,ninewa,,,,,,,,,,,,,,,,,,,,,
district_origin,al.daur,Al-Daur,الدور,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_origin,al.shirqat,Al-Shirqat,الشرقاط,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_origin,balad,Balad,بلد,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_origin,beygee,Beygee,بيجي,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_origin,samarra,Samarra,سامراء,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_origin,tikrit,Tikrit,تكريت,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_origin,tooz.khurmato,Tooz Khurmato,طوزخورماتو,salah.al.din,,,,,,,,,,,,,,,,,,,,,
district_origin,al.chibayish,Al-Chibayish,الشبايش,thi.qar,,,,,,,,,,,,,,,,,,,,,
district_origin,al.nasiriya,Al-Nasiriya,الناصرية,thi.qar,,,,,,,,,,,,,,,,,,,,,
district_origin,al.rifai,Al-Rifai,الرفاعي,thi.qar,,,,,,,,,,,,,,,,,,,,,
district_origin,al.shatra,Al-Shatra,الشطرة,thi.qar,,,,,,,,,,,,,,,,,,,,,
district_origin,suq.al.shoyokh,Suq Al-Shoyokh,سوق الشيوخ,thi.qar,,,,,,,,,,,,,,,,,,,,,
district_origin,al.hai,Al-Hai,الحي,wassit,,,,,,,,,,,,,,,,,,,,,
district_origin,al.kut,Al-Kut,الكوت,wassit,,,,,,,,,,,,,,,,,,,,,
district_origin,al.namaniya,Al-Namaniya,النعمانية,wassit,,,,,,,,,,,,,,,,,,,,,
district_origin,al.suwaira,Al-Suwaira,الصويرة,wassit,,,,,,,,,,,,,,,,,,,,,
district_origin,badra,Badra,بدره,wassit,,,,,,,,,,,,,,,,,,,,,
yes_no,yes,Yes,نعم,,,,,,,,,,,,,,,,,,,,,,
yes_no,no,No,لا,,,,,,,,,,,,,,,,,,,,,,
sex,male,Male,ذكر,,,,,,,,,,,,,,,,,,,,,,
sex,female,Female,أنثى,,,,,,,,,,,,,,,,,,,,,,
intention,remain,Remain in current location,البقاء في المكان الحالي,,,,,,,,,,,,,,,,,,,,,,
intention,return,Return to area of origin,العودة الى منطقة الاصل,,,,,,,,,,,,,,,,,,,,,,
intention,move_inside_iraq,Move to another location - inside Iraq,الانتقال الى مكان آخر ( داخل العراق),,,,,,,,,,,,,,,,,,,,,,
intention,move_outside_iraq,Move to another location - outside Iraq,الانتقال الى مكان آخر ( خارج العراق),,,,,,,,,,,,,,,,,,,,,,
intention,wait_to_decide,Do not know - waiting to make a decision,لا أعلم – الأنتظار حتى اتخاذ القرار,,,,,,,,,,,,,,,,,,,,,,
intention_nonidp,remain,Remain in current location,البقاء في المكان الحالي,,,,,,,,,,,,,,,,,,,,,,
intention_nonidp,move_inside_iraq,Move to another location - inside Iraq,الانتقال الى مكان آخر ( داخل العراق),,,,,,,,,,,,,,,,,,,,,,
