"Governorate","district","psu","Location.Name","popgroup","pop","stratum"
"Diyala","baquba",24805,"Al Gatoon-Al Yarmook Qtr","idp",693,"baqubaidp"
"Diyala","baquba",11189,"Al Mafraq","idp",256,"baqubaidp"
"Diyala","baquba",24914,"Um Al Edam Village","idp",31,"baqubaidp"
"Diyala","baquba",11177,"Al Gatoon-Al Mujama Qtr","idp",85,"baqubaidp"
"Diyala","baquba",24917,"Al Sadah Village","idp",13,"baqubaidp"
"Diyala","baquba",23694,"Al Intesar-1 Qtr","idp",67,"baqubaidp"
"Diyala","baquba",11178,"Al Tahreer","idp",365,"baqubaidp"
"Diyala","baquba",11250,"Al Dawasir Qtr","idp",30,"baqubaidp"
"Diyala","baquba",25042,"Sesbana Village","idp",15,"baqubaidp"
"Diyala","khanaqin",25257,"Bakhtiari Qtr","idp",384,"khanaqinidp"
"Diyala","khanaqin",24312,"Imam Abass Qtr","idp",159,"khanaqinidp"
"Diyala","khanaqin",24403,"darwish village","idp",7,"khanaqinidp"
"Diyala","khanaqin",24351,"Mazrah Qtr","idp",41,"khanaqinidp"
"Diyala","khanaqin",25247,"Rapren-1 Qtr","idp",35,"khanaqinidp"
"Diyala","khanaqin",10666,"Jibraoh village","idp",30,"khanaqinidp"
"Diyala","khanaqin",24393,"Zurab village","idp",42,"khanaqinidp"
"Diyala","khanaqin",11047,"Tula Frosh Qtr","idp",210,"khanaqinidp"
"Diyala","khanaqin",24354,"Al Askari Qtr","idp",50,"khanaqinidp"
"Diyala","khanaqin",24405,"aldarawsha village","idp",8,"khanaqinidp"
"Diyala","khanaqin",10403,"Salih Agha village","idp",130,"khanaqinidp"
"Diyala","kifri",3903,"Kulajo","idp",281,"kifriidp"
"Diyala","kifri",6000,"Shaykh Lankar","idp",193,"kifriidp"
"Diyala","kifri",25429,"Markaz Jabara","idp",135,"kifriidp"
"Diyala","kifri",33394,"shahidan","idp",47,"kifriidp"
"Diyala","kifri",28430,"raparin","idp",67,"kifriidp"
"Diyala","kifri",28427,"Hawari new","idp",78,"kifriidp"
"Diyala","kifri",28429,"shoresh","idp",54,"kifriidp"
"Diyala","kifri",31930,"Sangaw","idp",184,"kifriidp"
"Diyala","kifri",6161,"Shakal","idp",200,"kifriidp"
"Diyala","kifri",28424,"mamostayan","idp",35,"kifriidp"
"Diyala","kifri",11023,"sar qala","idp",128,"kifriidp"
"Diyala","kifri",28422,"awbrey","idp",77,"kifriidp"
"Diyala","kifri",28428,"rezgari","idp",56,"kifriidp"
"Diyala","kifri",10592,"Qaratappa","idp",115,"kifriidp"
"Duhok","al.amadiya",23903,"Kaniya Mala","idp",25,"al.amadiyaidp"
"Duhok","al.amadiya",8171,"Aradin","idp",7,"al.amadiyaidp"
"Duhok","al.amadiya",8335,"Spindare","idp",19,"al.amadiyaidp"
"Duhok","al.amadiya",7770,"Chamanke","idp",97,"al.amadiyaidp"
"Duhok","al.amadiya",7768,"Mizi Village","idp",52,"al.amadiyaidp"
"Duhok","al.amadiya",27120,"Nahla Area","idp",45,"al.amadiyaidp"
"Duhok","al.amadiya",7867,"Sikreen","idp",7,"al.amadiyaidp"
"Duhok","al.amadiya",7862,"Qadish Collective","idp",14,"al.amadiyaidp"
"Duhok","al.amadiya",7896,"Benata","idp",6,"al.amadiyaidp"
"Duhok","al.amadiya",7835,"Sarsink","idp",69,"al.amadiyaidp"
"Duhok","duhok",26047,"Botan","idp",87,"duhokidp"
"Duhok","duhok",24092,"Masik-1","idp",163,"duhokidp"
"Duhok","duhok",23711,"Gali Dohuk","idp",21,"duhokidp"
"Duhok","duhok",21509,"Kari Basi","idp",179,"duhokidp"
"Duhok","duhok",8867,"Zeri Land","idp",504,"duhokidp"
"Duhok","duhok",21971,"Shorash (Al Jamyah)","idp",126,"duhokidp"
"Duhok","duhok",26052,"Bintika","idp",26,"duhokidp"
"Duhok","duhok",24186,"Zirka","idp",122,"duhokidp"
"Duhok","duhok",7945,"Baroshke","idp",271,"duhokidp"
"Duhok","duhok",24628,"Etit","idp",212,"duhokidp"
"Duhok","duhok",8687,"Bablu","idp",50,"duhokidp"
"Duhok","duhok",7949,"Eminke","idp",126,"duhokidp"
